local_path,split_candidate,polarity,category,source_name,source_url,download_url,original_filename,license,license_url,ai_training_permission,commercial_permission,attribution_required,attribution_text,creator,duration_sec,sample_rate_hz,channels,file_format,downloaded_at,notes
data/external/negatives/cc0/club_bag_equipment/fsd50k__101793__cathedral-bells.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/101793/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/101793.wav,101793.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,helenacm,13.759,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__102960__jingle-keys.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/102960/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/102960.wav,102960.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,cobrakissrock,3.042,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Keys_jangling; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__10431__gbell-8-1-ff.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/10431/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/10431.wav,10431.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,batchku,5.134,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__10440__gbell-3-1-ff.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/10440/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/10440.wav,10440.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,batchku,5.117,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__10729__bb-knuckle-1-r.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/10729/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/10729.wav,10729.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,batchku,1.008,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__118978__windchimes-1.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/118978/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/118978.wav,118978.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,esperri,22.674,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__119100__shaking-seasoning-rattling-1-2.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/119100/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/119100.wav,119100.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,domrodrig,3.712,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Rattle; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__125145__single-bell-2.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/125145/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/125145.wav,125145.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,connersaw8,0.395,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__127451__bell.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/127451/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/127451.wav,127451.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,arfei,4.393,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__131879__coffe-cup.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/131879/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/131879.wav,131879.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,sKydran,3.402,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__136469__wine-glasses.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/136469/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/136469.wav,136469.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,m1a2t3z4,5.851,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__137080__wood-pat-03.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/137080/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/137080.wav,137080.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,chaosportal,0.453,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
